caller	callee
LodePNG_loadFile	fclose@plt
LodePNG_loadFile	fopen@plt
LodePNG_loadFile	fread@plt
LodePNG_loadFile	fseek@plt
LodePNG_loadFile	ftell@plt
LodePNG_loadFile	rewind@plt
LodePNG_saveFile	fclose@plt
LodePNG_saveFile	fopen@plt
LodePNG_saveFile	fwrite@plt
LodeZlib_add32bitInt	codo_realloc
LodeZlib_compress	LodeFlate_deflate
LodeZlib_compress	__stack_chk_fail@plt
LodeZlib_compress	codo_free
LodeZlib_compress	codo_realloc
LodeZlib_decompress	LodeFlate_inflate
LodeZlib_decompress	__stack_chk_fail@plt
SDLTest_PrintRenderer	SDL_GetRendererInfo@plt
SDLTest_PrintRenderer	__fprintf_chk@plt
SDLTest_PrintRenderer	__stack_chk_fail@plt
SDLTest_PrintRenderer	fputc@plt
SDLTest_PrintRenderer	fwrite@plt
SHA1Input	SHA1ProcessMessageBlock
SHA1PadMessage	SHA1ProcessMessageBlock
SHA1PadMessage	memset@plt
SHA1ProcessMessageBlock	__stack_chk_fail@plt
SHA1Result	SHA1ProcessMessageBlock
SHA1Result	memset@plt
_InitHashTable	calloc@plt
_InitHashTable	memset@plt
__do_global_dtors_aux	deregister_tm_clones
__libc_csu_init	_init
action_current_splore_item	__isoc99_sscanf@plt
action_current_splore_item	__sprintf_chk@plt
action_current_splore_item	__stack_chk_fail@plt
action_current_splore_item	codo_create_thread
action_current_splore_item	codo_destroy_bitmap
action_current_splore_item	codo_get_time
action_current_splore_item	codo_keypressed
action_current_splore_item	codo_mkdir
action_current_splore_item	codo_prefix_with_appdata_path
action_current_splore_item	codo_readkey
action_current_splore_item	codo_resolve_filename
action_current_splore_item	codo_strcpy
action_current_splore_item	download_bbs_cart
action_current_splore_item	download_list
action_current_splore_item	load_working_cart
action_current_splore_item	populate_splore_list_from_directory
action_current_splore_item	show_message
action_current_splore_item	strchr@plt
action_current_splore_item	strlen@plt
action_current_splore_item	strncpy@plt
action_current_splore_item	strstr@plt
activate_extpal_glitch	codo_get_time
addBitToStream	codo_realloc
addChunk_PLTE.isra.11	LodePNG_create_chunk
addChunk_PLTE.isra.11	__stack_chk_fail@plt
addChunk_PLTE.isra.11	codo_free
addChunk_PLTE.isra.11	ucvector_push_back
addChunk_tEXt	LodePNG_chunk_generate_crc
addChunk_tEXt	codo_free
addChunk_tEXt	codo_realloc
addChunk_tRNS	LodePNG_create_chunk
addChunk_tRNS	__stack_chk_fail@plt
addChunk_tRNS	codo_free
addChunk_tRNS	ucvector_push_back
addUnknownChunks	codo_realloc
add_api_function_name	codo_strcpy
add_c_functions	add_api_function_name
add_c_functions	init_api_function_names
add_c_functions	lua_pushcclosure
add_c_functions	lua_setglobal
add_c_functions_system	lua_pushcclosure
add_c_functions_system	lua_setglobal
add_guie	codo_add_guie
add_key	codo_malloc
add_key	codo_realloc
add_key	codo_strcpy
add_key	strcmp@plt
add_paused_menu_item	strncpy@plt
add_run_chain_item	codo_strcpy
add_sdl_controllers	SDL_GameControllerAddMapping@plt
add_sdl_controllers	__sprintf_chk@plt
add_sdl_controllers	__stack_chk_fail@plt
add_sdl_controllers	codo_debug
add_sdl_controllers	codo_prefix_with_appdata_path
add_sdl_controllers	codo_prefix_with_program_path
add_sdl_controllers	codo_trim
add_sdl_controllers	fclose@plt
add_sdl_controllers	feof@plt
add_sdl_controllers	fgets@plt
add_sdl_controllers	fopen@plt
add_sdl_controllers	fwrite@plt
add_splore_item	codo_allocate_buffer_size
add_to_keyword_hash_table	__printf_chk@plt
add_to_keyword_hash_table	__sprintf_chk@plt
add_to_keyword_hash_table	codo_debug
add_to_keyword_hash_table	exit@plt
add_to_keyword_hash_table	strlen@plt
add_to_zip_file.part.1	__printf_chk@plt
add_to_zip_file.part.1	__sprintf_chk@plt
add_to_zip_file.part.1	__stack_chk_fail@plt
add_to_zip_file.part.1	add_to_zip_file.part.1
add_to_zip_file.part.1	codo_fclose
add_to_zip_file.part.1	codo_find_close
add_to_zip_file.part.1	codo_find_first
add_to_zip_file.part.1	codo_find_next
add_to_zip_file.part.1	codo_load_file
add_to_zip_file.part.1	mz_set_executable_bit_on_next_file
add_to_zip_file.part.1	mz_zip_add_mem_to_archive_file_in_place
add_to_zip_file.part.1	strchr@plt
add_to_zip_file.part.1	strstr@plt
addk	luaC_barrier_
addk	luaH_get
addk	luaH_newkey
addk	luaM_growaux_
addk	luaV_equalobj_
adjust_assign.isra.115	luaK_exp2nextreg
adjust_assign.isra.115	luaK_reserveregs
adjust_assign.isra.115	luaK_setreturns
allocate_channel	codo_calloc
ants_line	codo_putpixel
apply_legacy_changes.part.0	__sprintf_chk@plt
apply_legacy_changes.part.0	codo_calloc
apply_legacy_changes.part.0	codo_free
apply_legacy_changes.part.0	codo_strcpy
apply_legacy_changes.part.0	pico_print
apply_legacy_changes.part.0	show_message
apply_legacy_changes.part.0	strcat@plt
apply_legacy_changes.part.0	strstr@plt
apply_patch.isra.1	codo_create_buffer
apply_patch.isra.1	codo_fread_int32
apply_patch.isra.1	codo_fread_uint32
apply_patch.isra.1	codo_fread_uint8
apply_patch.isra.1	codo_fwrite_uint8
apply_synth_filter	apply_synth_filter_delay
apply_synth_filter	apply_synth_filter_lphp
apply_synth_filter	codo_calloc
