address	size	type	bind	section	name
0x53a9d0	19	STT_FUNC	STB_LOCAL	13	SDL_JoystickName_DEFAULT
0x53a9f0	17	STT_FUNC	STB_LOCAL	13	SDL_JoystickOpen_DEFAULT
0x53aa10	17	STT_FUNC	STB_LOCAL	13	SDL_JoystickNameForIndex_DEFAULT
0x53aa30	19	STT_FUNC	STB_LOCAL	13	SDL_NumJoysticks_DEFAULT
0x53aa50	37	STT_FUNC	STB_LOCAL	13	SDL_DelHintCallback_DEFAULT
0x53aa80	37	STT_FUNC	STB_LOCAL	13	SDL_AddHintCallback_DEFAULT
0x53aab0	19	STT_FUNC	STB_LOCAL	13	SDL_GetHint_DEFAULT
0x53aad0	35	STT_FUNC	STB_LOCAL	13	SDL_SetHint_DEFAULT
0x53ab00	37	STT_FUNC	STB_LOCAL	13	SDL_SetHintWithPriority_DEFAULT
0x53ab30	19	STT_FUNC	STB_LOCAL	13	SDL_HapticRumbleStop_DEFAULT
0x53ab50	45	STT_FUNC	STB_LOCAL	13	SDL_HapticRumblePlay_DEFAULT
0x53ab80	19	STT_FUNC	STB_LOCAL	13	SDL_HapticRumbleInit_DEFAULT
0x53aba0	19	STT_FUNC	STB_LOCAL	13	SDL_HapticRumbleSupported_DEFAULT
0x53abc0	19	STT_FUNC	STB_LOCAL	13	SDL_HapticStopAll_DEFAULT
0x53abe0	19	STT_FUNC	STB_LOCAL	13	SDL_HapticUnpause_DEFAULT
0x53ac00	19	STT_FUNC	STB_LOCAL	13	SDL_HapticPause_DEFAULT
0x53ac20	33	STT_FUNC	STB_LOCAL	13	SDL_HapticSetAutocenter_DEFAULT
0x53ac50	33	STT_FUNC	STB_LOCAL	13	SDL_HapticSetGain_DEFAULT
0x53ac80	33	STT_FUNC	STB_LOCAL	13	SDL_HapticGetEffectStatus_DEFAULT
0x53acb0	33	STT_FUNC	STB_LOCAL	13	SDL_HapticDestroyEffect_DEFAULT
0x53ace0	33	STT_FUNC	STB_LOCAL	13	SDL_HapticStopEffect_DEFAULT
0x53ad10	35	STT_FUNC	STB_LOCAL	13	SDL_HapticRunEffect_DEFAULT
0x53ad40	35	STT_FUNC	STB_LOCAL	13	SDL_HapticUpdateEffect_DEFAULT
0x53ad70	35	STT_FUNC	STB_LOCAL	13	SDL_HapticNewEffect_DEFAULT
0x53ada0	35	STT_FUNC	STB_LOCAL	13	SDL_HapticEffectSupported_DEFAULT
0x53add0	19	STT_FUNC	STB_LOCAL	13	SDL_HapticNumAxes_DEFAULT
0x53adf0	19	STT_FUNC	STB_LOCAL	13	SDL_HapticQuery_DEFAULT
0x53ae10	19	STT_FUNC	STB_LOCAL	13	SDL_HapticNumEffectsPlaying_DEFAULT
